 *                                      
 * hydrostatic:  btemp=  6.000E+09 bden=  6.000E+09
 *          time                temp          den           ener          sdot          sneut         s-snu         ye            1-sum
    166  4.330384356747E-08  6.000000E+09  6.000000E+09  3.324192E+18  3.314405E+22  6.193410E+11  3.314405E+22  5.000000E-01 -6.439294E-15
    167  4.423024793489E-08  6.000000E+09  6.000000E+09  3.324223E+18  3.270000E+22  6.193433E+11  3.270000E+22  5.000000E-01 -6.439294E-15
    168  4.488798918322E-08  6.000000E+09  6.000000E+09  3.324244E+18  3.240307E+22  6.193449E+11  3.240307E+22  5.000000E-01 -5.773160E-15
    169  4.709747601078E-08  6.000000E+09  6.000000E+09  3.324315E+18  3.150320E+22  6.193503E+11  3.150320E+22  5.000000E-01 -6.661338E-15
    170  4.863081691178E-08  6.000000E+09  6.000000E+09  3.324363E+18  3.095514E+22  6.193540E+11  3.095514E+22  5.000000E-01 -6.661338E-15
    171  4.972375492791E-08  6.000000E+09  6.000000E+09  3.324396E+18  3.059691E+22  6.193566E+11  3.059691E+22  5.000000E-01 -7.105427E-15
    172  5.050602084544E-08  6.000000E+09  6.000000E+09  3.324420E+18  3.035540E+22  6.193585E+11  3.035540E+22  5.000000E-01 -6.883383E-15
    173  5.106624002904E-08  6.000000E+09  6.000000E+09  3.324437E+18  3.018950E+22  6.193598E+11  3.018950E+22  5.000000E-01 -7.549517E-15
    174  5.280652599994E-08  6.000000E+09  6.000000E+09  3.324489E+18  2.970798E+22  6.193638E+11  2.970798E+22  5.000000E-01 -7.993606E-15
    175  5.407691966080E-08  6.000000E+09  6.000000E+09  3.324527E+18  2.938554E+22  6.193668E+11  2.938554E+22  5.000000E-01 -8.215650E-15
